EXP1 Little CPU only
big_freq,little_freq,pp1,pp2,order,fps,latency,watts
500000,500000,8,8,L-G-B,1.03564,965.587,1.9760000911362725
500000,667000,8,8,L-G-B,1.39447,717.116,2.058244412340542
500000,1000000,8,8,L-G-B,1.98199,504.543,2.069199255563946
500000,1200000,8,8,L-G-B,2.21732,450.996,2.2350530825107096
500000,1398000,8,8,L-G-B,2.33261,428.704,2.2673039376911293
500000,1512000,8,8,L-G-B,2.4074,415.386,2.3399978333353393
500000,1608000,8,8,L-G-B,2.44694,408.673,2.3784296980715633
500000,1704000,8,8,L-G-B,2.47774,403.594,2.3191623264964294
500000,1800000,8,8,L-G-B,2.51461,397.675,2.4442069529138117
