EXP3 GPU-only, CPU freq grid
big_freq,little_freq,pp1,pp2,order,fps,latency,watts
500000,500000,8,8,G-B-L,9.56598,104.537,2.9271932425839653
500000,1000000,8,8,G-B-L,9.63833,103.752,2.775850104094379
500000,1512000,8,8,G-B-L,9.4429,105.9,2.889518413597734
500000,1800000,8,8,G-B-L,9.13719,109.443,2.9604451632356565
1000000,500000,8,8,G-B-L,10.5427,94.852,3.0363091974866103
1000000,1000000,8,8,G-B-L,10.5604,94.6933,2.851310493984263
1000000,1512000,8,8,G-B-L,10.5709,94.5991,2.9492881010495866
1000000,1800000,8,8,G-B-L,10.4788,95.431,3.0178872693359597
1512000,500000,8,8,G-B-L,10.8522,92.1472,2.93009445756355
1512000,1000000,8,8,G-B-L,10.9603,91.2383,2.9592835464930842
1512000,1512000,8,8,G-B-L,10.8733,91.9683,3.1315137933396615
1512000,1800000,8,8,G-B-L,10.972,91.1409,3.1599424627143247
1800000,500000,8,8,G-B-L,10.9298,91.4932,3.147774916605824
1800000,1000000,8,8,G-B-L,11.2344,89.0126,3.2354969970543492
1800000,1512000,8,8,G-B-L,10.9921,90.9747,3.1657153032656336
1800000,1800000,8,8,G-B-L,11.1239,89.8964,3.1436186543621325
2208000,500000,8,8,G-B-L,11.0607,90.41,3.185488330936843
2208000,1000000,8,8,G-B-L,11.0978,90.1083,3.1961539613997823
2208000,1512000,8,8,G-B-L,11.0964,90.1194,3.3954953095559888
2208000,1800000,8,8,G-B-L,11.1434,89.7389,3.409892476952582
