EXP4 partition points fixed freqs: big=1800000, little=1200000, order=G-B-L
big_freq,little_freq,pp1,pp2,order,fps,latency,watts
1800000,1200000,2,4,G-B-L,6.42628,219.175,4.08
1800000,1200000,3,5,G-B-L,7.68332,199.039,4.023529411764706
1800000,1200000,4,6,G-B-L,16.256,165.247,4.114285714285714
1800000,1200000,5,7,G-B-L,14.4314,183.038,4.009090909090909
1800000,1200000,6,8,G-B-L,12.7704,156.464,3.4177215189873418
