EXP4 partition points fixed freqs: big=1800000, little=1200000, order=G-B-L
big_freq,little_freq,pp1,pp2,order,fps,latency,watts
1800000,1200000,2,2,G-B-L,4.48633,248.545,3.5307692307692307
1800000,1200000,2,3,G-B-L,5.35086,243.316,4.2101694915254235
1800000,1200000,2,4,G-B-L,6.38632,220.574,4.149152542372882
1800000,1200000,2,5,G-B-L,7.55968,208.996,4.180645161290323
1800000,1200000,2,6,G-B-L,10.8864,211.538,4.178571428571429
1800000,1200000,2,7,G-B-L,8.94774,250.455,4.0754716981132075
1800000,1200000,2,8,G-B-L,11.193,119.961,4.180645161290323
