EXP1 Little CPU only
big_freq,little_freq,pp1,pp2,order,fps,latency,watts
500000,500000,8,8,L-G-B,1.04698,955.126,2.1473684210526316
500000,667000,8,8,L-G-B,1.39695,715.846,2.1767441860465113
500000,1000000,8,8,L-G-B,1.98224,504.48,2.28
500000,1200000,8,8,L-G-B,2.22545,449.347,2.533333333333333
500000,1398000,8,8,L-G-B,2.34917,425.683,2.353846153846154
500000,1512000,8,8,L-G-B,2.40678,415.492,2.4480000000000004
500000,1608000,8,8,L-G-B,2.44002,409.832,2.55
500000,1704000,8,8,L-G-B,2.47533,403.987,2.3478260869565215
500000,1800000,8,8,L-G-B,2.51036,398.349,2.618181818181818
