EXP4 partition points fixed freqs: big=1800000, little=1200000, order=G-B-L
big_freq,little_freq,pp1,pp2,order,fps,latency,watts
1800000,1200000,0,6,G-B-L,10.5358,189.802,3.9221052631578948
1800000,1200000,1,6,G-B-L,6.70485,311.02,4.015384615384615
1800000,1200000,2,6,G-B-L,10.85,212.341,4.242857142857143
1800000,1200000,3,6,G-B-L,12.9618,192.574,4.263157894736842
1800000,1200000,4,6,G-B-L,16.1563,167.659,4.303448275862069
1800000,1200000,5,6,G-B-L,18.3204,151.962,4.395789473684211
1800000,1200000,6,6,G-B-L,12.407,130.773,3.526530612244898
