EXP2 Big CPU only
big_freq,little_freq,pp1,pp2,order,fps,latency,watts
500000,500000,8,8,B-G-L,2.42767,411.917,2.184906182556195
667000,500000,8,8,B-G-L,3.23706,308.922,2.330685415736011
1000000,500000,8,8,B-G-L,4.82561,207.228,2.6058254676009036
1200000,500000,8,8,B-G-L,5.69191,175.688,2.868721825053504
1398000,500000,8,8,B-G-L,6.55197,152.626,2.594577594905193
1512000,500000,8,8,B-G-L,7.04836,141.877,3.0448909971313176
1608000,500000,8,8,B-G-L,7.42186,134.737,3.2062462426801845
1704000,500000,8,8,B-G-L,7.79666,128.26,3.087478559176672
1800000,500000,8,8,B-G-L,8.1402,122.847,3.2235219419277636
1908000,500000,8,8,B-G-L,8.58202,116.523,3.398470688190314
2016000,500000,8,8,B-G-L,9.0001,111.11,3.888038880388804
2100000,500000,8,8,B-G-L,9.14329,109.37,3.949894852336107
2208000,500000,8,8,B-G-L,9.51266,105.123,4.45192774178819
