EXP5 orders fixed freqs: big=1800000, little=1200000, pp1=3, pp2=6
big_freq,little_freq,pp1,pp2,order,fps,latency,watts
1800000,1200000,3,6,B-L-G,8.42316,280.186,4.32
1800000,1200000,3,6,B-G-L,15.4203,177.852,4.94
1800000,1200000,3,6,L-B-G,3.81388,780.078,2.53
1800000,1200000,3,6,L-G-B,4.28078,694.365,2.54
1800000,1200000,3,6,G-B-L,12.9636,193.435,4.04
1800000,1200000,3,6,G-L-B,6.9345,322.836,3.45
